call_id,equip_id,cust_id,serial,call_date,call_notes,created_at,updated_at
90,4314,70,G38525226,12/03/2002,"Service Furnace  $70.00
Flame Sensor  $7.50
Paul",06/04/17,06/04/17
91,5054,2340,,12/04/2002,"Service Furnace  $70.00
Replace air filter   $2.50
Sean",06/04/17,06/04/17
93,3069,1362,B11528327,12/03/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
94,3070,1362,,12/03/2002,Replace Filter  $35.00,06/04/17,06/04/17
95,3071,1362,0,12/03/2002,"Service Humidifier  $20.00
Waterpanel  $15.00
Scott",06/04/17,06/04/17
96,5056,2341,,12/03/2002,"Service Furnace  $70.00
Seal fittings on flue pipe $10.00
Scott",06/04/17,06/04/17
98,5057,2343,,12/04/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
99,5058,2343,,12/04/2002,"Waterpanel  $11.00
Sean",06/04/17,06/04/17
100,5059,2344,,12/04/2002,"Service Furnace  $70.00
Replace blower wheel on gas furnace  $105.00
Paul",06/04/17,06/04/17
101,4921,2296,CP172M350300079,11/26/2002,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Cleaned heat ex. & flue  $20
Sean",06/04/17,06/04/17
103,2485,988,K20528338,12/03/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
104,5062,988,,12/03/2002,"Clean  $35.00
Scott",06/04/17,06/04/17
106,5064,2346,,12/07/2002,"Service Furnace  $50.00
Clean Air Filter  $10.00
Scott",06/04/17,06/04/17
107,2933,1258,,12/09/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
108,151,54,P4536UM2G,12/09/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
109,5065,54,,12/09/2002,"Clean  $35.00
Scott",06/04/17,06/04/17
110,5066,54,,12/09/2002,"Service Humidifier  $20.00
Waterpanel  $15.00
Scott",06/04/17,06/04/17
111,5067,2347,,12/08/2002,"Service Furnace  $100.00
Replace Ignitor  $35.00",06/04/17,06/04/17
112,5068,2121,,12/09/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
113,5069,2348,,12/10/2002,"Service Furnace  $80.00
Oil Filter & Nozzle  $15.00
Sean",06/04/17,06/04/17
116,5072,2351,,12/10/2002,"Service Furnace  $70.00
Ignitor & flame sensor  $41.00
Sean",06/04/17,06/04/17
117,5073,2351,,12/10/2002,"Service Air Cleaner  $35.00
Sean",06/04/17,06/04/17
118,5074,2351,,12/10/2002,"Service Humidifier  $25.00
Waterpanel  $11.00
Sean",06/04/17,06/04/17
119,5075,2352,,12/05/2002,"Service Furnace  $70.00
Ignitor  $35.00
Paul",06/04/17,06/04/17
120,723,288,,12/10/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
122,5077,2353,,12/05/2002,"Service Furnace  $80.00
Replace blower motor & capacitor  $135.00
Scott & Sean",06/04/17,06/04/17
123,5078,2354,,12/08/2002,"Service Furnace  $100.00
Ignitor  $45.00
Scott",06/04/17,06/04/17
124,5079,2355,,12/06/2002,"Service Furnace  $85.00
Replaced primary oil control  $80.00
Paul",06/04/17,06/04/17
125,5080,2356,,12/07/2002,"Service Furnace  $100.00
Oil Filter & Nozzle  $15.00
Clean Heat Ex. & flue pipe  $35.00
Scott",06/04/17,06/04/17
126,5081,2357,,12/09/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
127,5082,2357,,12/09/2002,"Service Air Cleaner  $35.00
Sean",06/04/17,06/04/17
128,5083,2357,,12/09/2002,"Waterpanel  $11.00
Sean",06/04/17,06/04/17
131,5086,2360,,12/05/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
132,1809,726,AN172M330100211,12/07/2002,"Service Furnace  $100.00
Oil filter & Nozzle  $15.00
Air Filter  $2.00
Scott",06/04/17,06/04/17
133,5087,2361,,12/09/2002,"Service Furnace  $70.00.
Sean",06/04/17,06/04/17
134,5088,2361,,12/09/2002,"Replace filter  $40.00
Sean",06/04/17,06/04/17
135,4470,2151,M4597,12/05/2002,"Service Furnace  $125.00
Oil filter & Nozzle  $15.00
16x25x1 Air Filter  $1.00
Steve & Dave",06/04/17,06/04/17
136,76,32,0338822-9246,12/12/2002,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Clean Heat Ex.  $40.00
Combustion test  $20.00
Sean",06/04/17,06/04/17
137,5089,2362,,12/12/2002,"Service Furnace  $75.00
Look for gas leak  $25.00
Scott",06/04/17,06/04/17
139,4579,2187,D22565177,12/11/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
140,5090,2187,,12/11/2002,"Service Air Cleaner  $40.00
Sean",06/04/17,06/04/17
141,5091,2363,,12/13/2002,"Replace induce draft motor.  New gasket, oil motor, and check furnace for proper operation.  $188.50
Sean",06/04/17,06/04/17
142,477,191,M443K7F7G,12/04/2002,"Replace thermocouple  $15.75
Replaced blower motor with capacitor  $135.00
Combustion gas valve  $137.00
Service Furnace  $120.00
Scott",06/04/17,06/04/17
143,5092,2364,,12/11/2002,"Service Furnace  $70.00
Steve",06/04/17,06/04/17
144,5093,2364,,12/11/2002,"Filter  $40.00
Steve",06/04/17,06/04/17
145,5094,2365,,12/11/2002,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Scott",06/04/17,06/04/17
147,1059,438,K525N0K7G,12/12/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
148,5096,438,,12/12/2002,"Filter  $40.00
Sean",06/04/17,06/04/17
149,1161,474,504515T03,12/11/2002,"Service Furnace $70.00
Scott",06/04/17,06/04/17
150,5097,2367,,04/18/2002,Service Furnace  $75.00,06/04/17,06/04/17
151,2032,805,B14544220,12/11/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
152,5098,805,,12/11/2002,"Filter  $40.00
Sean",06/04/17,06/04/17
153,5099,2368,,12/11/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
154,5100,2368,,12/11/2002,"Service  $25.00
Sean",06/04/17,06/04/17
155,5101,2368,,12/11/2002,"Service Humidifier  $25.00
Waterpanel  $11.00
Sean",06/04/17,06/04/17
156,5102,1384,,12/11/2002,"Service Boiler  $75.00
Paul & Dave",06/04/17,06/04/17
157,5103,2369,,12/11/2002,"Service Furnace  $70.00
Ignitor  $35.00
Scott",06/04/17,06/04/17
158,5104,2370,,12/12/2002,"Service Furnace  $70.00
Ignitor  $35.00
Sean",06/04/17,06/04/17
159,5106,2372,,12/09/2002,"Service  $70.00
Paul",06/04/17,06/04/17
160,2959,1277,E26627290,12/16/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
161,2961,1277,0,12/16/2002,"Service Humidifier  $25.00
Waterpanel  $11.00
Sean",06/04/17,06/04/17
162,5107,1114,,12/16/2002,"Service Furnace  $80.00
Oil filter & nozzle
Cleaned Heat Ex. & Flue $34.00
Paul",06/04/17,06/04/17
163,1309,541,L304TFK7G,12/12/2002,"Service Furnace  $70.00
Clean blower wheel & recouperative coil  $25.00
Steve & Dave",06/04/17,06/04/17
164,5108,541,,12/12/2002,"Clean Air Cleaner  $25.00
Steve & Dave",06/04/17,06/04/17
165,3314,1575,,12/14/2002,"Service Furnace  $50.00
Ignition module  $147.50
Paul",06/04/17,06/04/17
171,5113,2376,,12/16/2002,"Service Furnace  $70.00
Paul",06/04/17,06/04/17
172,3620,1787,,12/10/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
173,5115,1787,,12/10/2002,"Service Air Cleaner  $35.00
Sean",06/04/17,06/04/17
174,5116,1787,,12/10/2002,"Service heat pump  $35.00
Sean",06/04/17,06/04/17
175,1301,17,,12/16/2002,"Filter  $40.00
Sean",06/04/17,06/04/17
176,5117,1657,,12/01/2002,"Service Furnace  $70.00
Replace Component Board on Power Venter  $140.00
Paul",06/04/17,06/04/17
177,5118,2379,,12/05/2002,"Replace Bell & Gossett pump & coupling due to leak  $846.50
Labor  $290.00",06/04/17,06/04/17
179,3535,1057,,12/19/2002,"Ball valve & flat drain hose
$83.50
Paul",06/04/17,06/04/17
181,5121,1699,,12/02/2002,"Service Furnace  $85.00
Capacitor  $201.25
Combustion Fan Control  $105.90
Paul",06/04/17,06/04/17
182,5122,2382,,12/19/2002,"Service Furnace  $85.00
Paul",06/04/17,06/04/17
183,5123,2383,,12/19/2002,"Service Furnace  $70.00
Ignitor  $35.00
Paul",06/04/17,06/04/17
184,1991,795,X01502075,12/18/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
185,1992,795,,12/18/2002,"Service Humidifier  $25.00
Waterpanel  $11.00
Sean",06/04/17,06/04/17
186,1993,795,S02780437,12/18/2002,"Service Air Cleaner  $25.00
Sean",06/04/17,06/04/17
187,5125,2385,,12/18/2002,"Service Furnace $70.00
Sean",06/04/17,06/04/17
188,5127,2387,,12/18/2002,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Sean",06/04/17,06/04/17
189,3967,1988,,12/20/2002,"Replace belt drive blower motor  $185.75
Paul",06/04/17,06/04/17
192,3116,1398,,12/20/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
193,5130,1398,,12/20/2002,"Waterpanel  $13.00
Stud, brass fitting, drain hose  $8.50
Sean",06/04/17,06/04/17
195,5131,1086,,12/19/2002,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Sean",06/04/17,06/04/17
196,1144,469,J06504286,12/19/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
197,5132,2390,,12/20/2002,Service Heat Pump  $80.00,06/04/17,06/04/17
198,5133,2391,,12/21/2002,"Service Furnace  $70.00
Ignitor  $35.00
Sean",06/04/17,06/04/17
199,5134,2392,,12/23/2002,"Flame Sensor  $7.50
Service     $50.00
Paul",06/04/17,06/04/17
200,3163,321,,12/20/2002,"Replaced ignitor & cleaned flame sensor (owner supplied).  Reset high temp limit control.  Adjust gas pressure.  $80.00
Paul",06/04/17,06/04/17
201,487,196,R352NHC7G,12/23/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
203,2743,540,,12/23/2002,"Service Humidifier  $25.00
Waterpanel  $11.00
Sean",06/04/17,06/04/17
204,1306,540,H26783930,12/23/2002,"Filter  $40.00
Sean",06/04/17,06/04/17
205,2253,897,,12/23/2002,"Service Humidifier  $50.00
Waterpanel  $13.00
Sean",06/04/17,06/04/17
206,5138,2396,,12/23/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
207,4691,1741,0801H01475,12/10/2002,"Installed Pressure Regulator  $140.00
Paul",06/04/17,06/04/17
208,5139,2398,,12/11/2002,"Service Furnace  $85.00
Clean heat ex. $25.00
Combination Gas Valve $152.58
Thermocouple  $15.00
Steve",06/04/17,06/04/17
209,5140,2399,,12/26/2002,Service  $90.00,06/04/17,06/04/17
210,2999,1297,,12/27/2003,"Thermocouple  $15.00
Sean",06/04/17,06/04/17
212,3157,1439,,12/16/2002,Service Furnace  $100.00,06/04/17,06/04/17
213,389,150,L272KRA7G,12/30/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
214,2990,150,,12/30/2002,"Filter  $40.00
Scott",06/04/17,06/04/17
215,5141,2400,,12/27/2002,"Replace blower motor belt driven with owners motor, wire blower and mount.  $115.00
Sean",06/04/17,06/04/17
216,5142,2401,,06/02/2003,"Replace fan and limit switch and rewire furnace control box  $95.00
Sean",06/04/17,06/04/17
217,2850,1216,,12/30/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
218,5143,1660,,12/29/2002,"Ignitor  $35.00
Service  $50.00",06/04/17,06/04/17
219,5144,1751,,12/27/2002,"Flue Pipe:  Parts  $50.40
                 Service $165.00
Sean",06/04/17,06/04/17
220,5145,2402,,12/30/2002,"Service Furnace  $70.00
Ignitor  $35.00
Sean",06/04/17,06/04/17
221,5146,2403,,12/28/2002,"Replace: computer board, ignition board, transformer, thermostat. 
Parts  $325.70
Service  $340.00
Sean",06/04/17,06/04/17
222,5147,1551,,12/30/2002,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
223,5148,2404,,12/27/2002,"Clean blower wheel, oil motor, inspect wiring.  $115.00
Dave",06/04/17,06/04/17
226,5150,1390,,12/31/2002,"Waterpanel  $14.00
Paul",06/04/17,06/04/17
227,439,171,K22542758,12/31/2002,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
228,595,237,AN172M330100111,12/31/2002,"Service Furnace  $80.00
Oil filter & nozzle  $15.00
Sean",06/04/17,06/04/17
229,598,237,0,12/31/2002,"Filter  $40.00
Sean",06/04/17,06/04/17
230,599,237,0,12/31/2002,"Waterpanel  $13.00
Sean",06/04/17,06/04/17
231,5151,2405,,01/06/2003,"Service Furnace  $70.00
Ignitor  $35.00
1/2"" gas valve  $30.00
Scott & Dave",06/04/17,06/04/17
232,5152,2406,,01/02/2003,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
233,4295,1756,L20740113,01/07/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
234,5153,2407,,12/31/2002,"Replace blower motor  $113.50
Service  $70.00
Sean",06/04/17,06/04/17
235,3267,1542,,12/21/2002,"Ignitor  $65.00
Service  $100.00
Sean",06/04/17,06/04/17
236,5154,2408,,12/23/2002,Blower  $200.00,06/04/17,06/04/17
237,5155,2409,,01/07/2002,"Service Furnace  $70.00
Clean Heat Ex.  $40.00
Sean",06/04/17,06/04/17
238,5156,2410,,01/06/2003,"Service Boiler  $70.00
Scott & Dave",06/04/17,06/04/17
239,5144,1751,,01/08/2003,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
240,851,344,X28540987,01/06/2003,Service Furnace  $70.00,06/04/17,06/04/17
242,5009,1477,3242HXT7G,01/02/2003,"Replace Pressure Switch $104.50
Sean",06/04/17,06/04/17
243,5157,1931,,01/03/2003,"Filter  $40.00
Scott",06/04/17,06/04/17
244,1373,564,L034JRN1G,01/06/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
245,1450,594,,01/02/2003,"Service Humidifier, Waterpanel  $52.00
Paul",06/04/17,06/04/17
246,5158,800,,01/02/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
247,5159,800,,01/02/2003,"Service Humidifier  $25.00
Waterpanel  $11.00
Sean",06/04/17,06/04/17
248,5160,2411,,12/10/2002,"Service Furnace  $80.00
Oil filter & nozzle  $15.00
Sean",06/04/17,06/04/17
249,5161,2411,,12/10/2002,"Service Humidifier  $25.00
Waterpanel  $11.00
Sean",06/04/17,06/04/17
250,5162,2411,,12/10/2002,"Service Air Cleaner  $25.00
Sean",06/04/17,06/04/17
251,2066,817,D48638934,01/07/2003,"No Heat:
Replace ignitor and clean flame sensor  $135.00
Sean",06/04/17,06/04/17
252,5163,2412,,01/06/2003,"Service Furnace  $70.00
Scott & Dave",06/04/17,06/04/17
253,5164,2413,,01/02/2002,"Service  $70.00
Sean",06/04/17,06/04/17
254,5165,2414,,01/04/2003,"Service Furnace  $100.00
Electrode  $15.00
Oil Nozzle  $8.00
Steve",06/04/17,06/04/17
255,2560,1023,K01516211,01/06/2003,"Service Furnace  $70.00 replaced ignitor under warranty
Sean",06/04/17,06/04/17
256,5166,1023,,01/06/2003,"Filter  $40.00
Sean",06/04/17,06/04/17
266,5175,2419,,01/09/2003,"Replace Pump Coupling $10.50
Oil filter & nozzle  $15.00
Labor  $150.00
Sean",06/04/17,06/04/17
267,5176,1618,,01/11/2003,"Replaced Ignitor  $115.00
Paul",06/04/17,06/04/17
269,5177,2420,,01/11/2003,"Replaced Belt Drive blower motor  $135.00
Paul",06/04/17,06/04/17
270,2187,867,M443H5P7G,01/09/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
271,3040,1333,,01/08/2003,"Replace coupling for motor & pump  $40.00
Scott",06/04/17,06/04/17
275,4189,2060,N134JG15G,01/13/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
276,5178,2421,,01/13/2003,"Cleaned condensate drains, checked ignition control module & furnace operation  $75.00
Paul",06/04/17,06/04/17
277,5179,2422,,01/11/2003,"Replaced comb. Valve  $255.00
Paul",06/04/17,06/04/17
279,5181,2424,,01/10/2003,"Service Furnace  $55.00
Sean",06/04/17,06/04/17
280,5182,2424,,01/10/2003,"Service Furnace  $55.00
Sean",06/04/17,06/04/17
281,5183,2425,,01/10/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
282,2234,891,C30561524,01/13/2003,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
283,5184,2426,,01/14/2003,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Sean",06/04/17,06/04/17
284,5185,2427,,01/15/2003,"Replace ignitor and drained pressure switch hose $115.00
Paul",06/04/17,06/04/17
285,5186,2428,,01/14/2003,"Service Furnace  $80.00
Oil filter & Nozzle  $15.00
Clean blue pipe & heat ex.  $50.00
Combustion test  $20.00
Sean",06/04/17,06/04/17
286,5188,2429,,12/29/2002,"Replace blower motor $117.50
Service  $200.00
Sean",06/04/17,06/04/17
287,5189,2430,,01/15/2003,"Drain & bleed system loops, check system pressure.  $115.00
Sean",06/04/17,06/04/17
288,5191,1499,,01/20/2003,"Service heater in garage  $50.00
Thermocouple  $15.00
Sean",06/04/17,06/04/17
289,5192,2431,,01/16/2003,"Service furnace  $100.00
oil filter & nozzle  $15.00
Sean",06/04/17,06/04/17
290,5193,1519,,01/13/2003,"Service Furnace  $70.00
Bleed expansion tank $25.00
Replace Automatic water feeder  $175.00
Steve & Dave",06/04/17,06/04/17
291,5194,2432,,01/21/2003,Ignitor  $25.00,06/04/17,06/04/17
292,3313,1574,,01/17/2003,"Replace blower bearings and shaft  $146.25
Dave",06/04/17,06/04/17
293,5195,2433,,01/18/2003,"Replace Comb. Gas Valve  $135.00
Cleaned out flue and pipe  $175.00
Dave",06/04/17,06/04/17
295,2942,1265,,01/21/2003,"Cleaned pilot assembly and replaced thermocouple  $35.00
Paul",06/04/17,06/04/17
296,5197,2435,,01/16/2003,"Service Furnace  $70.00
Oil Nozzle  $5.00
Paul",06/04/17,06/04/17
297,5198,2436,,01/20/2003,"Service Furnace  $150.00
Replace comb valve and thermocouple  $152.05
Scott & Steve",06/04/17,06/04/17
298,4018,566,CP172M030306964,01/07/2003,"Cleaned secondary heat ex.; resealed and checked operation  $85.00
Paul",06/04/17,06/04/17
299,1526,625,C39782972,01/17/2003,Filter  $40.00,06/04/17,06/04/17
300,5199,2437,,01/20/2003,Service Furnace  $75.00,06/04/17,06/04/17
301,5200,2438,,01/20/2003,"Replaced Heat Ex. (under warranty)
Paul",06/04/17,06/04/17
302,5201,2439,,01/16/2003,"Service Furnace & install ignitor kit  $100.00
Steve",06/04/17,06/04/17
303,5202,1605,,01/20/2003,"Replace switch to furnace 
$63.50
Sean",06/04/17,06/04/17
304,5203,2440,,01/17/2003,"Replaced comb. Fan assmebly  $319.92
Scott & Dave",06/04/17,06/04/17
305,5204,2441,,01/19/2003,"Service Furnace  $100.00
Replace Primary transformer  $186.00
Scott & Steve",06/04/17,06/04/17
306,5205,2442,,01/18/2003,"Replace oil pump & pump coupling  $100.00
Replace oil line  $28.00
Oil filter & nozzle  $15.00
Service  $425.00",06/04/17,06/04/17
307,5206,2443,,01/28/2003,"Replace coupler assembly and motor mounts on pump motor assembly  $50.00
Service  $100.00
Paul & Steve",06/04/17,06/04/17
308,5207,2444,,01/28/2003,"Service Furnace  $200.00
Direct Drive blower motor  $173.50
Steve",06/04/17,06/04/17
309,5208,110,,01/15/2003,"Filter  $40.00
Sean",06/04/17,06/04/17
310,3244,110,,01/15/2003,"Waterpanel  $12.00
Sean",06/04/17,06/04/17
311,5209,1682,,01/15/2003,"Filter  $40.00
Sean",06/04/17,06/04/17
312,5210,1080,,01/22/2003,"Filter  $40.00
Paul",06/04/17,06/04/17
316,5214,2445,,12/18/2002,"Cleaned  $25.00
Paul",06/04/17,06/04/17
317,5215,2446,,01/28/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
318,5216,2447,,01/24/2003,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
319,5217,2448,,01/16/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
320,5218,2449,,01/29/2003,"Rewire blower to work off of fan and limit; replace ignition board and pilot assembly; check gas pressure and service furnace.  $587.50
Sean",06/04/17,06/04/17
321,769,307,D13536330,01/21/2003,"Service Furnace  $70.00
Ignitor  $35.00
Water reducing valve  $85.00
Sean",06/04/17,06/04/17
322,5220,307,,01/21/2003,"Filter  $40.00
Sean",06/04/17,06/04/17
323,1000,410,N382RLH7G,01/23/2003,"Service Furnace  $70.00
Scott",06/04/17,06/04/17
324,2904,410,,01/23/2003,"Filter  $40.00
Scott",06/04/17,06/04/17
325,5221,2451,,01/29/2003,"Service Furnace  $70.00
Sean",06/04/17,06/04/17
326,3075,1367,,01/25/2003,"Thermocouple  $15.00
Sean",06/04/17,06/04/17
327,5222,2452,,01/27/2003,"Service Furnace  $70.00
Ignitor  $45.00
Sean",06/04/17,06/04/17
328,5223,2453,,01/25/2003,"Replace blower motor and service  $170.00
Paul",06/04/17,06/04/17
329,5224,2454,,01/29/2003,"Service Furnace  $70.00
Ignitor  $35.00
Sean",06/04/17,06/04/17
